 	Area	X	Y	Slice
313	133	306.929	293.778	1
314	148	36.784	327.277	1
315	89	482.084	333.669	1
316	118	345.915	337.034	1
317	128	116.844	388.797	1
318	115	434.830	392.335	1
319	107	459.986	464.808	1
320	115	428.839	173.848	1
321	140	418.086	237.671	1
322	142	302.415	290.887	1
323	150	40.020	325.507	1
324	111	483.050	331.824	1
325	128	346.039	338.062	1
326	133	118.568	387.929	1
327	121	434.169	392.723	1
328	121	237.839	461.194	1
329	118	461.144	467.025	1
330	126	432.976	170.222	1
331	142	420.732	236.042	1
332	145	303.714	289.169	1
333	117	484.064	320.047	1
334	146	41.192	322.486	1
335	129	344.934	342.833	1
336	143	116.318	389.423	1
337	127	433.382	394.075	1
338	125	242.356	464.108	1
339	126	463.317	465.929	1
340	109	437.151	164.115	1
341	130	419.269	233.769	1
342	136	302.419	296	1
343	149	43.138	319.158	1
344	97	479.624	324.686	1
345	127	343.358	346.295	1
346	133	112.154	391.327	1
347	119	434.920	397.290	1
348	112	247.795	464.062	1
349	111	460.923	467.050	1
350	105	438.233	160.824	1
351	127	422.429	233.161	1
352	133	301.267	299.703	1
353	140	46.786	322.664	1
354	87	476.431	325.649	1
355	110	343.636	345.655	1
356	126	105.508	389.746	1
357	109	440.702	398.775	1
358	103	246.869	461.413	1
359	93	461.435	470.059	1
360	109	437.445	159.564	1
361	135	422.819	237.381	1
362	140	298.014	294.993	1
363	149	45.977	318.701	1
364	103	478.694	325.218	1
365	121	340.566	345.037	1
366	133	106.274	391.019	1
367	116	438.026	401.319	1
368	113	247.695	461.810	1
369	114	459.930	471.184	1
370	126	434.159	154.127	1
371	144	428.167	236.257	1
372	142	299.254	292.859	1
373	153	46.441	317.990	1
374	112	478.973	323.795	1
375	129	344.012	343.996	1
376	136	106.235	393.640	1
377	126	435.722	398.429	1
378	119	249.752	461.979	1
379	117	457.936	469.244	1
380	126	430.889	156.540	1
381	136	432.456	240.441	1
382	139	294.442	291.486	1
383	157	49.908	315.723	1
384	112	475	324.705	1
385	126	345.770	340.873	1
386	139	106.255	396.500	1
387	117	433.637	398.380	1
388	119	251.004	460.332	1
389	119	454.735	467.769	1
390	108	429.194	156.296	1
391	132	432.902	242.417	1
392	137	294.106	289.646	1
393	146	52.021	313.685	1
394	100	475.630	326.630	1
395	109	350.472	346.344	1
396	127	102.358	395.051	1
397	112	434.446	397.071	1
398	106	251.538	455.594	1
399	103	457.820	470.801	1
400	109	425.977	150.950	1
401	126	435.421	243.929	1
402	135	294.730	288.656	1
403	144	56.542	308.444	1
404	91	470.203	329.137	1
405	116	356.250	347.767	1
406	133	105.921	392.056	1
407	114	435.219	401.368	1
408	109	249.849	461.271	1
409	101	458.183	470.985	1
410	123	424.630	149.695	1
411	137	439.639	245.332	1
412	141	294.287	285.670	1
413	152	57.730	307.921	1
414	110	469.355	328.545	1
415	130	363.954	346.838	1
416	134	107.403	390.963	1
417	124	437.540	400.823	1
418	120	249.567	462.125	1
419	116	458.672	469.802	1
420	126	423.714	154.048	1
421	139	441.104	240.586	1
422	144	293.562	286.229	1
423	152	58.836	304.461	1
424	115	472.274	329.891	1
425	130	366.608	347.100	1
426	139	109.219	389.270	1
427	125	438.548	397.444	1
428	121	459.178	465.178	1
429	121	253.178	467.145	1
430	111	425.374	152.500	1
431	131	440.095	238.294	1
432	139	294.335	288.543	1
433	149	61.131	304.124	1
434	105	471.405	331.652	1
435	126	372.317	343.730	1
436	135	109.337	389.574	1
437	114	435.868	394.509	1
438	103	463.733	461.850	1
439	113	251.872	465.022	1
440	100	425.930	150.180	1
441	125	437.700	239.644	1
442	133	291.425	291.936	1
